song_id,chroma_stft_mean,chroma_stft_var,mfccs_mean,mfccs_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_contrast_mean,spectral_contrast_var,tonnetz_mean,tonnetz_var,rms_mean,rms_var,spectral_rolloff_mean,spectral_rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,beat_histogram
afrikaans_hip_hop_29,0.43737715,0.08072934,5.810859,1178.1301,2345.9468795920607,1005878.5885026738,2612.2896410101102,283017.7063862985,23.247550289226943,145.94167401472998,-0.014066322876862207,0.00761539714128041,0.24069448,0.0029482928,5255.573558807373,4096519.6655686647,0.07362251281738282,0.0025692698416241912,117.45383522727273,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_3,0.51282686,0.085313864,8.797835,1458.6022,1938.2910075034356,891573.9499424342,2395.8277730646123,292493.6545097404,22.658741344596066,150.20908569732228,6.882900411633898e-05,0.0019670444891757783,0.35624394,0.008379917,4259.015235900879,4126947.450202306,0.052903366088867185,0.001766285985795548,89.10290948275862,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_30,0.39395803,0.0980235,2.8266175,532.97943,3206.175357960754,979212.0876222581,2937.6399732978625,152767.43713771616,22.41820286316378,113.46590045791966,0.020572120684320815,0.013938187925831893,0.3397874,0.013828176,6791.723670959473,2487737.460752016,0.1246490478515625,0.00782639249227941,123.046875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_31,0.44987357,0.08507348,7.718015,826.12225,2739.2807465818337,1713455.4776656262,2926.7164041322653,270677.0109002414,21.036191503369082,127.16649669176971,0.006233979311313901,0.004460136222726037,0.38093194,0.008269568,6071.446437835693,5890869.701464792,0.11341361999511719,0.010965620527131252,61.5234375,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_32,0.37544897,0.09358255,6.322972,573.9262,2787.7565591325133,1010200.6898320175,2773.462040924024,203106.33144795708,21.4099382868015,153.72809994494824,0.00654015426922794,0.00717964320165401,0.34552294,0.010587192,6074.297904968262,2875118.3909945763,0.11968421936035156,0.007704765084054088,129.19921875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_33,0.44078082,0.08810859,-1.121949,740.8795,3005.6309562900497,977128.8547445281,2782.9490789451006,94896.93829407741,22.14948140175845,129.3518587290087,-0.012832741334953657,0.0204054153172719,0.21577084,0.017949184,6321.214771270752,2362524.8694096864,0.13228874206542968,0.012127330571966013,71.77734375,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_34,0.3999904,0.088106245,4.8927836,725.1647,2592.186900057338,1047061.6803090319,2711.607970870845,324285.3903319455,22.0364285699216,124.24706158934875,0.015846267661270248,0.002167018054724756,0.26946974,0.006071242,5653.693885803223,5002814.752743391,0.11342658996582031,0.005720457358838757,123.046875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_35,0.4143382,0.08818679,2.6695652,898.3324,2540.293472560668,1081674.4710233533,2540.6992162224074,249191.97484401986,21.805298312175694,132.51590173916333,-0.009866734524740456,0.006093180053543982,0.21313128,0.007813374,5279.848880767822,3595781.825804369,0.12416496276855468,0.0075591503582836585,184.5703125,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_36,0.40328863,0.09958224,2.00296,874.6253,3365.63302122534,1600865.4993157252,2841.4890780153205,139082.00321928872,23.36801352314579,128.66168505754976,0.011342537699844762,0.002852669023818233,0.22682622,0.01538072,6704.0095138549805,2562267.718553763,0.1766063690185547,0.01754175422116532,184.5703125,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_37,0.46914446,0.09430243,2.8781054,1752.8745,2179.896850186907,1404759.2771286364,2393.5229607469214,336659.0485476732,23.735089566003083,152.42959502036183,-0.01619007399620528,0.0068883858583837386,0.23422864,0.021844612,4592.872409820557,5255906.543885954,0.07633323669433593,0.006145534890092677,99.38401442307692,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_38,0.47059137,0.08673029,2.418477,501.09027,3609.3557484495236,1310034.42009644,2930.1978165363653,141775.4082769716,22.456308971876517,111.04911257254321,-0.014645974085936701,0.011617886390842207,0.26646167,0.0106469225,7117.371311187744,2589830.902889804,0.1746662139892578,0.012684706981381166,143.5546875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_39,0.46897158,0.08897878,3.642143,896.9769,2924.093277767009,1211059.7182811361,2818.2981321825037,148789.4886483636,21.95602071265973,150.92107798492756,0.005421108187327124,0.004976141747060943,0.21140751,0.008411166,6260.147953033447,2704847.81830626,0.12632408142089843,0.00974199373726151,92.28515625,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_4,0.47981384,0.08481529,8.094263,629.7339,2712.3172734091986,928157.9375195599,2615.2320736024194,176663.3987540127,21.867954974413475,147.6518648444987,0.019809739716215587,0.0035269220575076233,0.36093473,0.008261395,5622.866077423096,2756371.493120008,0.10995330810546874,0.005956325770821422,129.19921875,[1 0 0 ... 0 0 1]
afrikaans_hip_hop_40,0.42900583,0.08829752,4.6572676,754.32916,2813.9663317527034,1054861.1940584737,2709.7272843934247,181500.5861226704,21.697575256263725,130.5963991597004,0.0026758647616854188,0.0026222704205207154,0.2252852,0.005923321,5883.190727233887,2864941.998960414,0.13629722595214844,0.008074241704161978,129.19921875,[1 0 0 ... 0 0 1]
